,Date,Open,High,Low,Close
653,2014-12-23,82.02,82.17,80.4,80.61
652,2014-12-22,80.08,81.89,80.0,81.45
651,2014-12-19,78.75,80.0,78.33,79.88
650,2014-12-18,76.89,78.4,76.51,78.4
649,2014-12-17,75.01,76.41,74.9,76.11
648,2014-12-16,76.19,77.39,74.59,74.69
647,2014-12-15,78.46,78.58,76.56,76.99
646,2014-12-12,77.16,78.88,77.02,77.83
645,2014-12-11,76.52,78.52,76.48,77.73
644,2014-12-10,76.65,77.55,76.07,76.18
643,2014-12-09,75.2,76.93,74.78,76.84
642,2014-12-08,76.18,77.25,75.4,76.52
641,2014-12-05,75.8,76.76,75.36,76.36
640,2014-12-04,74.83,75.55,74.66,75.24
639,2014-12-03,75.38,75.73,74.4,74.88
638,2014-12-02,75.33,75.91,75.04,75.46
637,2014-12-01,77.26,77.31,74.8,75.1
636,2014-11-28,77.67,78.27,77.23,77.7
635,2014-11-26,75.53,77.78,75.51,77.62
634,2014-11-25,74.21,75.74,74.13,75.63
633,2014-11-24,73.54,74.35,73.35,74.01
632,2014-11-21,74.5,74.5,73.5,73.75
631,2014-11-20,72.8,73.99,72.51,73.6
630,2014-11-19,74.01,74.54,73.11,73.33
629,2014-11-18,74.45,74.8,73.9,74.34
628,2014-11-17,74.88,75.655,73.88,74.24
627,2014-11-14,74.27,74.93,74.04,74.88
626,2014-11-13,74.74,75.24,73.64,74.25
625,2014-11-12,74.28,75.14,73.54,74.72
624,2014-11-11,74.95,74.98,74.03,74.61
623,2014-11-10,75.36,75.4799,74.61,75.0
622,2014-11-07,75.39,75.855,75.02,75.6
621,2014-11-06,74.89,75.6,74.31,75.26
620,2014-11-05,76.51,76.8,74.42,74.83
619,2014-11-04,74.23,75.77,73.65,75.76
618,2014-11-03,75.47,75.52,73.7,73.88
617,2014-10-31,74.93,75.7,74.45,74.99
616,2014-10-30,75.05,75.35,72.9,74.11
615,2014-10-29,75.45,76.88,74.78,75.86
614,2014-10-28,80.18,81.16,79.57,80.77
613,2014-10-27,80.74,80.8,79.76,80.28
612,2014-10-24,80.2,80.8183,79.32,80.67
611,2014-10-23,79.38,80.63,79.01,80.04
610,2014-10-22,78.815,79.85,78.01,78.37
609,2014-10-21,77.56,78.74,77.15,78.69
608,2014-10-20,75.6,77.09,75.38,76.95
607,2014-10-17,74.23,76.0,73.75,75.95
606,2014-10-16,70.79,73.35,70.58,72.63
605,2014-10-15,71.69,73.8,70.32,73.21
604,2014-10-14,74.0,74.18,72.05,73.59
603,2014-10-13,73.23,74.78,72.52,72.99
602,2014-10-10,75.59,76.5,72.76,72.91
601,2014-10-09,77.28,77.7601,75.85,75.91
600,2014-10-08,76.18,77.71,75.1,77.52
599,2014-10-07,77.05,77.95,76.24,76.29
598,2014-10-06,77.19,77.89,76.85,77.555
597,2014-10-03,77.76,78.06,77.26,77.44
596,2014-10-02,76.57,77.48,75.64,77.08
595,2014-10-01,78.78,78.82,75.9,76.55
594,2014-09-30,79.35,79.7067,78.6,79.04
593,2014-09-29,78.12,79.199,77.91,79.0
592,2014-09-26,77.59,78.8416,77.33,78.79
591,2014-09-25,78.6,78.94,77.13,77.22
590,2014-09-24,78.1,78.62,77.51,78.535
589,2014-09-23,76.33,78.63,76.04,78.29
